Antike und Abendland	A&A 
L.D. Caskey and J.D. Beazley, Attic Vase Paintings in the Museum of Fine Arts, Boston (Oxford 1931–1963)	CB
Collection de l'École française de Rome	CÉFR
The Hittite Dictionary of the Oriental Institute of the University of Chicago	CHD
The Chicago Manual of Style. 16th ed. (Chicago 2010)	ChicagoMS16
Chiron. Mitteilungen der Kommission für alte Geschichte und Epigraphik des Deutschen Archäologischen Instituts	Chiron
Catholic Historical Review	CHR
Chronique d'Égypte	ChrÉg
Corpus inscriptionum atticarum	CIA
Corpus inscriptionum etruscarum	CIE
Corpus inscriptionum graecarum	CIG
Corpus inscriptionum iudicarum	CII
Corpus inscriptionum latinarum	CIL
Corpus inscriptionum semiticarum	CIS
Classical Journal	CJ 
Classical Antiquity	ClAnt
Classica et mediaevalia. Revue danoise de philologie et d'histoire	ClMed
Clara Rhodos	ClRh
Cambridge Mediaeval History	CMH
Corpus der minoischen und mykenischen Siegel	CMS
Coin Hoards	CoinH
Collection Latomus	CollLatomus
J. Chadwick et al., Corpus of Mycenaean Inscriptions from Knossos (Cambridge 1986–1998)	CoMIK
Corinth. Results of Excavations Conducted by the American School of Classical Studies at Athens	Corinth
Classical Philology	CP
University of California Publications in Classical Archaeology	CPCA
University of California Publications in Classical Philology	CPCP
Corpus papyrorum Judaicarum	CPJ
Classical Quarterly	CQ
Classical Review	CR
Comptes rendus des séances de l'Académie des inscriptions et belles-lettres [Paris]	CRAI
Kretika chronika. Keimena kai meletai tes kretikes istorias	CretChron
Cronache di archeologia e di storia dell'arte, Università di Catania	CronCatania
Cronache ercolanensi	CronErcol
Cronache pompeiane	CronPomp
Compte-rendu de la Commission impériale archéologique, St. Pétersbourg	CRPétersb
University of California Studies in Classical Antiquity	CSCA
Corpus scriptorum christianorum orientalium	CSCO
Corpus speculorum etruscorum	CSE
Corpus scriptorum ecclesiasticorum latinorum	CSEL
Corpus signorum imperii romani	CSIR
Corpus delle urne etrusche di eta ellenistics	CUE
Current Anthropology	CurrAnthr
Corpus vasorum antiquorum	CVA
Commentationes Vindobonenses	CVind
Classical World	CW
Dacia. Revue d'archéologie et d'histoire ancienne	Dacia
F. Cabrol and E. Leclercq, Dictionnaire d'archéologie chrétienne et de liturgie (Paris 1907–1953)	DACL
Documents d'archéologie française	DAF
C. Daremberg and E. Saglio, Dictionnaire des antiquités grecques et romaines (Paris 1875)	DarSag
Dédalo. Revista de arte e arqueologia	Dédalo
Exploration archéologique de Délos faite par l'École française d'Athènes	Délos
Österreichische Akademie der Wissenschaften, Wien, Philosophisch-historische Klasse. Denkschriften	DenkschrWien
Dialoghi di archeologia	DialArch
Dioniso. Trimestrale di studi sul teatro antico	Dioniso
Dissertationes Pannonicae	DissPan
Atti della Pontificia Accademia romana di archeologia. Dissertazioni	DissPontAcc
Deutsches Jahrbuch für Numismatik	DJbN
Deutsche Literaturzeitung	DLZ
Damaszener Mitteilungen	DM
M. Ventris and J. Chadwick, Documents in Mycenaean Greek (Cambridge 1956)	Docs1
M. Ventris and J. Chadwick, Documents in Mycenaean Greek. 2nd ed. (Cambridge 1973)	Docs2
Dumbarton Oaks Papers	DOP
Histoire et archéologie. Les dossiers [Paris]	DossPar
P. Arndt and W. Amelung, Photographische Einzelaufnahmen antiker Skulpturen (Munich 1893–1940)	EA
Enciclopedia dell'arte antica, classica e orientale (Rome 1958–1984)	EAA
Echos du monde classique. Classical Views	EchCl
Echos d'Orient	EchOr
Egypt Exploration Fund	EEF
Egypt Exploration Society	EES
Études d'histoire et de philosophie religieuses	ÉHPR
English Historical Review	EHR
European Journal of Archaeology	EJA 
Eirene. Studia graeca et latina	Eirene
Emerita. Boletín de linguística y filología clásica	Emerita
Entretiens Hardt	EntrHardt
Eos. Commentarii Societatis philologae polonorum	Eos 
Epeteris Etaireias Buzantinon spoudon	EpetByz
Ephemeris dacoromana	EphDac
Ephemeris epigraphica	EphEp
